run_id,mode,bucket_ms,sequence,run_start_micros,scheduled_at_micros,fired_at_micros,drift_micros
catchup-leg,3,100,0,1789102499927387,1789102500027387,1789102509938369,9910982
catchup-leg,3,100,1,1789102499927387,1789102500127387,1789102509953394,9826007
catchup-leg,3,100,2,1789102499927387,1789102500227387,1789102509968711,9741324
catchup-leg,3,100,3,1789102499927387,1789102500327387,1789102509984613,9657226
catchup-leg,3,100,4,1789102499927387,1789102500427387,1789102509985576,9558189
catchup-leg,3,100,5,1789102499927387,1789102500527387,1789102509986505,9459118
catchup-leg,3,100,6,1789102499927387,1789102500627387,1789102509987616,9360229
catchup-leg,3,100,7,1789102499927387,1789102500727387,1789102509988729,9261342
catchup-leg,3,100,8,1789102499927387,1789102500827387,1789102510000049,9172662
catchup-leg,3,100,9,1789102499927387,1789102500927387,1789102510016344,9088957
catchup-leg,3,100,10,1789102499927387,1789102501027387,1789102510031035,9003648
catchup-leg,3,100,11,1789102499927387,1789102501127387,1789102510046930,8919543
catchup-leg,3,100,12,1789102499927387,1789102501227387,1789102510062615,8835228
catchup-leg,3,100,13,1789102499927387,1789102501327387,1789102510077798,8750411
catchup-leg,3,100,14,1789102499927387,1789102501427387,1789102510093711,8666324
catchup-leg,3,100,15,1789102499927387,1789102501527387,1789102510109930,8582543
catchup-leg,3,100,16,1789102499927387,1789102501627387,1789102510124836,8497449
catchup-leg,3,100,17,1789102499927387,1789102501727387,1789102510140639,8413252
catchup-leg,3,100,18,1789102499927387,1789102501827387,1789102510156554,8329167
catchup-leg,3,100,19,1789102499927387,1789102501927387,1789102510172355,8244968
catchup-leg,3,100,20,1789102499927387,1789102502027387,1789102510187890,8160503
catchup-leg,3,100,21,1789102499927387,1789102502127387,1789102510203018,8075631
catchup-leg,3,100,22,1789102499927387,1789102502227387,1789102510217601,7990214
catchup-leg,3,100,23,1789102499927387,1789102502327387,1789102510233123,7905736
catchup-leg,3,100,24,1789102499927387,1789102502427387,1789102510248706,7821319
catchup-leg,3,100,25,1789102499927387,1789102502527387,1789102510264275,7736888
catchup-leg,3,100,26,1789102499927387,1789102502627387,1789102510265487,7638100
catchup-leg,3,100,27,1789102499927387,1789102502727387,1789102510266856,7539469
catchup-leg,3,100,28,1789102499927387,1789102502827387,1789102510279734,7452347
catchup-leg,3,100,29,1789102499927387,1789102502927387,1789102510295298,7367911
catchup-leg,3,100,30,1789102499927387,1789102503027387,1789102510311616,7284229
catchup-leg,3,100,31,1789102499927387,1789102503127387,1789102510313895,7186508
catchup-leg,3,100,32,1789102499927387,1789102503227387,1789102510315681,7088294
catchup-leg,3,100,33,1789102499927387,1789102503327387,1789102510326733,6999346
catchup-leg,3,100,34,1789102499927387,1789102503427387,1789102510342655,6915268
catchup-leg,3,100,35,1789102499927387,1789102503527387,1789102510357878,6830491
catchup-leg,3,100,36,1789102499927387,1789102503627387,1789102510373224,6745837
catchup-leg,3,100,37,1789102499927387,1789102503727387,1789102510388377,6660990
catchup-leg,3,100,38,1789102499927387,1789102503827387,1789102510404924,6577537
catchup-leg,3,100,39,1789102499927387,1789102503927387,1789102510420189,6492802
catchup-leg,3,100,40,1789102499927387,1789102504027387,1789102510436057,6408670
catchup-leg,3,100,41,1789102499927387,1789102504127387,1789102510451522,6324135
catchup-leg,3,100,42,1789102499927387,1789102504227387,1789102510466701,6239314
catchup-leg,3,100,43,1789102499927387,1789102504327387,1789102510482806,6155419
catchup-leg,3,100,44,1789102499927387,1789102504427387,1789102510498705,6071318
catchup-leg,3,100,45,1789102499927387,1789102504527387,1789102510514214,5986827
catchup-leg,3,100,46,1789102499927387,1789102504627387,1789102510529972,5902585
catchup-leg,3,100,47,1789102499927387,1789102504727387,1789102510545473,5818086
catchup-leg,3,100,48,1789102499927387,1789102504827387,1789102510560689,5733302
catchup-leg,3,100,49,1789102499927387,1789102504927387,1789102510575430,5648043
catchup-leg,3,100,50,1789102499927387,1789102505027387,1789102510591042,5563655
catchup-leg,3,100,51,1789102499927387,1789102505127387,1789102510607144,5479757
catchup-leg,3,100,52,1789102499927387,1789102505227387,1789102510622813,5395426
catchup-leg,3,100,53,1789102499927387,1789102505327387,1789102510638044,5310657
catchup-leg,3,100,54,1789102499927387,1789102505427387,1789102510653395,5226008
catchup-leg,3,100,55,1789102499927387,1789102505527387,1789102510669427,5142040
catchup-leg,3,100,56,1789102499927387,1789102505627387,1789102510670699,5043312
catchup-leg,3,100,57,1789102499927387,1789102505727387,1789102510684940,4957553
catchup-leg,3,100,58,1789102499927387,1789102505827387,1789102510700920,4873533
catchup-leg,3,100,59,1789102499927387,1789102505927387,1789102510715704,4788317
