run_id,mode,bucket_ms,sequence,run_start_micros,scheduled_at_micros,fired_at_micros,drift_micros
idle-oneshot-100,0,100,0,1788887902435256,1788887902535256,1788887902543394,8138
idle-anchored-100,3,100,0,1788887902483083,1788887902583083,1788887902589201,6118
idle-interval-100,1,100,0,1788887902528990,1788887902628990,1788887902636351,7361
idle-oneshot-100,0,100,1,1788887902435256,1788887902635256,1788887902652028,16772
idle-anchored-100,3,100,1,1788887902483083,1788887902683083,1788887902697446,14363
idle-interval-100,1,100,1,1788887902528990,1788887902728990,1788887902744618,15628
idle-oneshot-100,0,100,2,1788887902435256,1788887902735256,1788887902753884,18628
idle-anchored-100,3,100,2,1788887902483083,1788887902783083,1788887902791589,8506
idle-interval-100,1,100,2,1788887902528990,1788887902828990,1788887902852553,23563
idle-oneshot-100,0,100,3,1788887902435256,1788887902835256,1788887902867649,32393
idle-anchored-100,3,100,3,1788887902483083,1788887902883083,1788887902899537,16454
idle-interval-100,1,100,3,1788887902528990,1788887902928990,1788887902961378,32388
idle-oneshot-100,0,100,4,1788887902435256,1788887902935256,1788887902977778,42522
idle-anchored-100,3,100,4,1788887902483083,1788887902983083,1788887902992936,9853
idle-interval-100,1,100,4,1788887902528990,1788887903028990,1788887903068514,39524
idle-oneshot-100,0,100,5,1788887902435256,1788887903035256,1788887903087429,52173
idle-anchored-100,3,100,5,1788887902483083,1788887903083083,1788887903087541,4458
idle-interval-100,1,100,5,1788887902528990,1788887903128990,1788887903181877,52887
idle-anchored-100,3,100,6,1788887902483083,1788887903183083,1788887903197584,14501
idle-oneshot-100,0,100,6,1788887902435256,1788887903135256,1788887903197672,62416
idle-oneshot-500,0,500,0,1788887902710258,1788887903210258,1788887903213544,3286
idle-anchored-500,3,500,0,1788887902755558,1788887903255558,1788887903259631,4073
idle-interval-100,1,100,6,1788887902528990,1788887903228990,1788887903291069,62079
idle-anchored-100,3,100,7,1788887902483083,1788887903283083,1788887903291172,8089
idle-oneshot-100,0,100,7,1788887902435256,1788887903235256,1788887903306712,71456
idle-interval-500,1,500,0,1788887902802197,1788887903302197,1788887903306850,4653
idle-anchored-100,3,100,8,1788887902483083,1788887903383083,1788887903384810,1727
idle-interval-100,1,100,7,1788887902528990,1788887903328990,1788887903400350,71360
idle-oneshot-100,0,100,8,1788887902435256,1788887903335256,1788887903415533,80277
idle-anchored-100,3,100,9,1788887902483083,1788887903483083,1788887903493200,10117
idle-interval-100,1,100,8,1788887902528990,1788887903428990,1788887903508958,79968
idle-oneshot-100,0,100,9,1788887902435256,1788887903435256,1788887903524096,88840
idle-anchored-100,3,100,10,1788887902483083,1788887903583083,1788887903585968,2885
idle-interval-100,1,100,9,1788887902528990,1788887903528990,1788887903616822,87832
idle-oneshot-100,0,100,10,1788887902435256,1788887903535256,1788887903632319,97063
idle-anchored-100,3,100,11,1788887902483083,1788887903683083,1788887903695361,12278
idle-oneshot-500,0,500,1,1788887902710258,1788887903710258,1788887903726094,15836
idle-interval-100,1,100,10,1788887902528990,1788887903628990,1788887903726217,97227
idle-oneshot-100,0,100,11,1788887902435256,1788887903635256,1788887903741658,106402
idle-anchored-500,3,500,1,1788887902755558,1788887903755558,1788887903757377,1819
idle-anchored-100,3,100,12,1788887902483083,1788887903783083,1788887903788487,5404
idle-interval-500,1,500,1,1788887902802197,1788887903802197,1788887903819194,16997
idle-interval-100,1,100,11,1788887902528990,1788887903728990,1788887903834892,105902
idle-oneshot-100,0,100,12,1788887902435256,1788887903735256,1788887903850940,115684
idle-anchored-100,3,100,13,1788887902483083,1788887903883083,1788887903897039,13956
idle-interval-100,1,100,12,1788887902528990,1788887903828990,1788887903943694,114704
idle-oneshot-100,0,100,13,1788887902435256,1788887903835256,1788887903959451,124195
idle-anchored-100,3,100,14,1788887902483083,1788887903983083,1788887903990179,7096
idle-oneshot-1000,0,1000,0,1788887903021315,1788887904021315,1788887904037466,16151
idle-interval-100,1,100,13,1788887902528990,1788887903928990,1788887904053050,124060
idle-oneshot-100,0,100,14,1788887902435256,1788887903935256,1788887904068880,133624
idle-anchored-1000,3,1000,0,1788887903070531,1788887904070531,1788887904084059,13528
idle-anchored-100,3,100,15,1788887902483083,1788887904083083,1788887904084145,1062
idle-interval-100,1,100,14,1788887902528990,1788887904028990,1788887904154103,125113
idle-oneshot-100,0,100,15,1788887902435256,1788887904035256,1788887904175999,140743
idle-anchored-100,3,100,16,1788887902483083,1788887904183083,1788887904191149,8066
idle-oneshot-500,0,500,2,1788887902710258,1788887904210258,1788887904237731,27473
idle-interval-100,1,100,15,1788887902528990,1788887904128990,1788887904268146,139156
idle-anchored-500,3,500,2,1788887902755558,1788887904255558,1788887904268347,12789
idle-interval-1000,1,1000,0,1788887903272705,1788887904272705,1788887904282723,10018
idle-oneshot-100,0,100,16,1788887902435256,1788887904135256,1788887904282810,147554
idle-anchored-100,3,100,17,1788887902483083,1788887904283083,1788887904298888,15805
idle-interval-500,1,500,2,1788887902802197,1788887904302197,1788887904329536,27339
idle-interval-100,1,100,16,1788887902528990,1788887904228990,1788887904375901,146911
idle-oneshot-100,0,100,17,1788887902435256,1788887904235256,1788887904391359,156103
idle-anchored-100,3,100,18,1788887902483083,1788887904383083,1788887904391426,8343
idle-interval-100,1,100,17,1788887902528990,1788887904328990,1788887904485215,156225
idle-anchored-100,3,100,19,1788887902483083,1788887904483083,1788887904485460,2377
idle-oneshot-100,0,100,18,1788887902435256,1788887904335256,1788887904500935,165679
idle-anchored-100,3,100,20,1788887902483083,1788887904583083,1788887904595108,12025
idle-interval-100,1,100,18,1788887902528990,1788887904428990,1788887904595194,166204
idle-oneshot-100,0,100,19,1788887902435256,1788887904435256,1788887904611623,176367
idle-anchored-100,3,100,21,1788887902483083,1788887904683083,1788887904689254,6171
idle-interval-100,1,100,19,1788887902528990,1788887904528990,1788887904705350,176360
idle-oneshot-100,0,100,20,1788887902435256,1788887904535256,1788887904721420,186164
idle-oneshot-500,0,500,3,1788887902710258,1788887904710258,1788887904752932,42674
idle-anchored-500,3,500,3,1788887902755558,1788887904755558,1788887904759462,3904
idle-anchored-100,3,100,22,1788887902483083,1788887904783083,1788887904799479,16396
idle-interval-100,1,100,20,1788887902528990,1788887904628990,1788887904815527,186537
idle-oneshot-100,0,100,21,1788887902435256,1788887904635256,1788887904831023,195767
idle-interval-500,1,500,3,1788887902802197,1788887904802197,1788887904831131,28934
idle-anchored-100,3,100,23,1788887902483083,1788887904883083,1788887904893207,10124
idle-interval-100,1,100,21,1788887902528990,1788887904728990,1788887904924788,195798
idle-oneshot-100,0,100,22,1788887902435256,1788887904735256,1788887904940142,204886
idle-anchored-100,3,100,24,1788887902483083,1788887904983083,1788887904987410,4327
idle-interval-100,1,100,22,1788887902528990,1788887904828990,1788887905034378,205388
idle-oneshot-1000,0,1000,1,1788887903021315,1788887905021315,1788887905049883,28568
idle-oneshot-100,0,100,23,1788887902435256,1788887904835256,1788887905049955,214699
idle-anchored-1000,3,1000,1,1788887903070531,1788887905070531,1788887905081473,10942
idle-anchored-100,3,100,25,1788887902483083,1788887905083083,1788887905096646,13563
idle-interval-100,1,100,23,1788887902528990,1788887904928990,1788887905144096,215106
