run_id,mode,bucket_ms,sequence,scheduled_at_micros,fired_at_micros,drift_micros
load1000-oneshot-100,0,100,0,1788849597723768,1788849597735195,11427
load1000-interval-100,1,100,0,1788849597769083,1788849597782371,13288
load1000-oneshot-100,0,100,1,1788849597835195,1788849597842229,7034
load1000-interval-100,1,100,1,1788849597869083,1788849597891868,22785
load1000-oneshot-100,0,100,2,1788849597942229,1788849597954375,12146
load1000-interval-100,1,100,2,1788849597969083,1788849598000946,31863
load1000-oneshot-100,0,100,3,1788849598054375,1788849598064094,9719
load1000-interval-100,1,100,3,1788849598069083,1788849598110521,41438
load1000-oneshot-100,0,100,4,1788849598164094,1788849598173071,8977
load1000-interval-100,1,100,4,1788849598169083,1788849598220762,51679
load1000-oneshot-500,0,500,0,1788849598214468,1788849598220876,6408
load1000-interval-500,1,500,0,1788849598257205,1788849598268029,10824
load1000-oneshot-100,0,100,5,1788849598273071,1788849598283856,10785
load1000-interval-100,1,100,5,1788849598269083,1788849598331732,62649
load1000-oneshot-100,0,100,6,1788849598383856,1788849598394967,11111
load1000-interval-100,1,100,6,1788849598369083,1788849598442081,72998
load1000-oneshot-100,0,100,7,1788849598494967,1788849598504534,9567
load1000-interval-100,1,100,7,1788849598469083,1788849598551413,82330
load1000-oneshot-100,0,100,8,1788849598604534,1788849598614242,9708
load1000-interval-100,1,100,8,1788849598569083,1788849598660473,91390
load1000-oneshot-100,0,100,9,1788849598714242,1788849598723389,9147
load1000-oneshot-500,0,500,1,1788849598720876,1788849598723544,2668
load1000-interval-100,1,100,9,1788849598669083,1788849598769893,100810
load1000-interval-500,1,500,1,1788849598757205,1788849598770036,12831
load1000-oneshot-1000,0,1000,0,1788849598799617,1788849598801291,1674
load1000-oneshot-100,0,100,10,1788849598823389,1788849598832769,9380
load1000-interval-1000,1,1000,0,1788849598843972,1788849598848404,4432
load1000-interval-100,1,100,10,1788849598769083,1788849598879685,110602
load1000-oneshot-100,0,100,11,1788849598932769,1788849598942764,9995
load1000-interval-100,1,100,11,1788849598869083,1788849598989522,120439
load1000-oneshot-100,0,100,12,1788849599042764,1788849599052772,10008
load1000-interval-100,1,100,12,1788849598969083,1788849599099931,130848
load1000-oneshot-100,0,100,13,1788849599152772,1788849599162337,9565
load1000-interval-100,1,100,13,1788849599069083,1788849599208864,139781
load1000-oneshot-500,0,500,2,1788849599223544,1788849599224510,966
load1000-oneshot-100,0,100,14,1788849599262337,1788849599270779,8442
load1000-interval-500,1,500,2,1788849599257205,1788849599270856,13651
load1000-interval-100,1,100,14,1788849599169083,1788849599316962,147879
load1000-oneshot-100,0,100,15,1788849599370779,1788849599380119,9340
load1000-interval-100,1,100,15,1788849599269083,1788849599426903,157820
load1000-oneshot-100,0,100,16,1788849599480119,1788849599489938,9819
load1000-interval-100,1,100,16,1788849599369083,1788849599535793,166710
load1000-oneshot-100,0,100,17,1788849599589938,1788849599597575,7637
load1000-interval-100,1,100,17,1788849599469083,1788849599644073,174990
load1000-oneshot-100,0,100,18,1788849599697575,1788849599706194,8619
load1000-oneshot-500,0,500,3,1788849599724510,1788849599737739,13229
load1000-interval-100,1,100,18,1788849599569083,1788849599752940,183857
load1000-interval-500,1,500,3,1788849599757205,1788849599783973,26768
load1000-oneshot-1000,0,1000,1,1788849599801291,1788849599815573,14282
load1000-oneshot-100,0,100,19,1788849599806194,1788849599815660,9466
load1000-interval-1000,1,1000,1,1788849599843972,1788849599861185,17213
load1000-interval-100,1,100,19,1788849599669083,1788849599861262,192179
load1000-oneshot-100,0,100,20,1788849599915660,1788849599923150,7490
load1000-interval-100,1,100,20,1788849599769083,1788849599968313,199230
load1000-oneshot-100,0,100,21,1788849600023150,1788849600029718,6568
load1000-burst,2,2000,0,1788849600034643,1788849600045703,11060
load1000-burst,2,2000,1,1788849600034643,1788849600045821,11178
load1000-burst,2,2000,2,1788849600034643,1788849600045876,11233
load1000-burst,2,2000,3,1788849600034643,1788849600045911,11268
load1000-burst,2,2000,4,1788849600034643,1788849600045945,11302
load1000-burst,2,2000,5,1788849600034643,1788849600045960,11317
load1000-burst,2,2000,6,1788849600034643,1788849600045973,11330
load1000-burst,2,2000,7,1788849600034643,1788849600045997,11354
load1000-burst,2,2000,8,1788849600034643,1788849600046031,11388
load1000-burst,2,2000,9,1788849600034643,1788849600046056,11413
