run_id,mode,bucket_ms,sequence,scheduled_at_micros,fired_at_micros,drift_micros
republish-leg,1,1000,0,1788849781822176,1788849782265578,443402
republish-leg,1,1000,1,1788849782822176,1788849783270780,448604
republish-leg,1,1000,2,1788849783822176,1788849784272551,450375
republish-leg,1,1000,3,1788849784822176,1788849785287691,465515
republish-leg,2,5000,0,1788849785822176,1788849785833983,11807
republish-leg,1,1000,4,1788849785822176,1788849786304120,481944
republish-leg,1,1000,5,1788849786822176,1788849787315447,493271
republish-leg,1,1000,6,1788849787822176,1788849788317925,495749
republish-leg,1,1000,7,1788849788822176,1788849789320203,498027
republish-leg,1,1000,8,1788849789822176,1788849790336643,514467
republish-leg,1,1000,9,1788849790822176,1788849791350459,528283
republish-leg,1,1000,10,1788849791822176,1788849792355955,533779
republish-leg,1,1000,11,1788849792822176,1788849793371849,549673
republish-leg,1,1000,12,1788849793822176,1788849794374089,551913
republish-leg,1,1000,13,1788849794822176,1788849795376699,554523
republish-leg,2,15000,1,1788849795822176,1788849795826387,4211
republish-leg,1,1000,14,1788849795822176,1788849796392218,570042
republish-leg,1,1000,15,1788849796822176,1788849797397516,575340
republish-leg,1,1000,16,1788849797822176,1788849798412484,590308
republish-leg,1,1000,17,1788849798822176,1788849799418474,596298
republish-leg,1,1000,18,1788849799822176,1788849800420019,597843
republish-leg,1,1000,19,1788849800822176,1788849801432147,609971
republish-leg,1,1000,20,1788849801822176,1788849802433945,611769
republish-leg,1,1000,21,1788849802822176,1788849803449494,627318
republish-leg,1,1000,22,1788849803822176,1788849804463197,641021
republish-leg,1,1000,23,1788849804822176,1788849805478576,656400
republish-leg,1,1000,24,1788849805822176,1788849806492247,670071
republish-leg,1,1000,25,1788849806822176,1788849807494852,672676
republish-leg,1,1000,26,1788849807822176,1788849808509565,687389
republish-leg,1,1000,27,1788849808822176,1788849809512319,690143
republish-leg,1,1000,28,1788849809822176,1788849810528378,706202
republish-leg,2,30000,2,1788849810822176,1788849810826360,4184
republish-leg,1,1000,29,1788849810822176,1788849811544588,722412
republish-leg,1,1000,30,1788849811822176,1788849812546660,724484
republish-leg,1,1000,31,1788849812822176,1788849813552093,729917
republish-leg,1,1000,32,1788849813822176,1788849814558122,735946
republish-leg,1,1000,33,1788849814822176,1788849815566068,743892
republish-leg,1,1000,34,1788849815822176,1788849816582248,760072
republish-leg,1,1000,35,1788849816822176,1788849817597078,774902
republish-leg,1,1000,36,1788849817822176,1788849818598682,776506
republish-leg,1,1000,37,1788849818822176,1788849819601844,779668
republish-leg,1,1000,38,1788849819822176,1788849820616134,793958
republish-leg,1,1000,39,1788849820822176,1788849821631807,809631
republish-leg,1,1000,40,1788849821822176,1788849822633388,811212
republish-leg,1,1000,41,1788849822822176,1788849823638030,815854
republish-leg,1,1000,42,1788849823822176,1788849824643007,820831
republish-leg,1,1000,43,1788849824822176,1788849825659137,836961
republish-leg,1,1000,44,1788849825822176,1788849826661202,839026
republish-leg,1,1000,45,1788849826822176,1788849827674189,852013
republish-leg,1,1000,46,1788849827822176,1788849828685820,863644
republish-leg,1,1000,47,1788849828822176,1788849829688637,866461
republish-leg,1,1000,48,1788849829822176,1788849830692025,869849
republish-leg,1,1000,49,1788849830822176,1788849831696536,874360
republish-leg,1,1000,50,1788849831822176,1788849832699806,877630
republish-leg,1,1000,51,1788849832822176,1788849833715295,893119
republish-leg,1,1000,52,1788849833822176,1788849834717516,895340
republish-leg,1,1000,53,1788849834822176,1788849835719266,897090
republish-leg,1,1000,54,1788849835822176,1788849836724051,901875
republish-leg,1,1000,55,1788849836822176,1788849837726396,904220
republish-leg,1,1000,56,1788849837822176,1788849838729247,907071
republish-leg,1,1000,57,1788849838822176,1788849839745720,923544
republish-leg,1,1000,58,1788849839822176,1788849840760370,938194
republish-leg,2,60000,3,1788849840822176,1788849840838330,16154
republish-leg,1,1000,59,1788849840822176,1788849841772218,950042
republish-leg,1,1000,60,1788849841822176,1788849842786143,963967
republish-leg,1,1000,61,1788849842822176,1788849843801480,979304
republish-leg,1,1000,62,1788849843822176,1788849844803180,981004
republish-leg,1,1000,63,1788849844822176,1788849845804962,982786
republish-leg,1,1000,64,1788849845822176,1788849846819840,997664
republish-leg,1,1000,65,1788849846822176,1788849847822540,1000364
republish-leg,1,1000,66,1788849847822176,1788849848828465,1006289
republish-leg,1,1000,67,1788849848822176,1788849849834231,1012055
republish-leg,1,1000,68,1788849849822176,1788849850850958,1028782
republish-leg,1,1000,69,1788849850822176,1788849851860928,1038752
republish-leg,1,1000,70,1788849851822176,1788849852864041,1041865
republish-leg,1,1000,71,1788849852822176,1788849853878654,1056478
republish-leg,1,1000,72,1788849853822176,1788849854891549,1069373
